Excitation Force 1.roll heading 0.0º phase
ω [rad/s];Fexₚₕ₄ tanker(Wm.o) [rad]
0.300000014666746;0
0.349999961406977;0
0.400000083217654;0
0.450000129429741;0
0.500000024444576;0
0.550000158191906;0
0.600000315812554;0
0.650000062813167;0
0.700000078785798;0
0.750000036666864;0
0.800000064576116;0
0.850000082140296;0
0.900000129943923;0
0.950000182522204;0
1.00000004888915;0
1.0500000011998;0
1.09999993122876;0
1.14999987319435;0
1.19999994407542;0
1.24999981243187;0
1.29999985665448;0
1.34999980816937;0
1.39999984562791;0
1.44999974780478;0
1.49999971523516;0
1.54999959473247;0
1.59999951799738;0
1.64999960797701;0
1.69999924436534;0
1.74999931962311;0
1.79999922856411;0
1.84999911880442;0
1.89999921594597;0
1.94999897806668;0
1.99999914284901;0
2.04999895828657;0
2.09999930052653;0
2.14999909567183;0
2.19999947730268;0
2.24999903570513;0
2.29999890445955;0
2.34999901154827;0
2.39999897141881;0
2.44999850157145;0
2.49999912750478;0
2.54999921151609;0
2.59999863742224;0
2.64999812619473;0
